RANK,PLAYER,PLAYER,POS,TEAM,BYE,CMP,ATT,CMP%,Y/A,PassingYDS,PassingTD,PassingINT,RushingAttempts,RushingYDS,RushingY/A,RushingTD,ReceivingTargets,ReceivingREC,ReceivingYDS,ReceivingY/R,ReceivingTD,Interceptions,FumbleRecoveries,Sacks,DefensiveTD,PointsAgainst,FPTS
119,,Ryan Santoso,K,CAR,13,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,128.8
121,,Sam Ficken,K,TEN,13,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,128.1
122,,Matt Gay,K,LAR,11,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,128
123,AJ Dillon,AJ Dillon,RB,GB,13,,,,,0,0,0,145,680,4.7,5,37,28,209,7.3,1.4,,,,,,127.3
124,,Baltimore Ravens,DST,BAL,8,,,,,--,--,--,,--,,--,,--,--,,--,12.7,12.1,40.8,3,20.3,127.2
124,Myles Gaskin,Myles Gaskin,RB,MIA,14,,,,,0,0,0,153,644,4.2,2.7,58,45,364,8.1,1.7,,,,,,127.2
126,Odell Beckham Jr.,Odell Beckham Jr.,WR,CLE,13,,,,,0,0,0,1,7,6.7,0.1,117,68,911,13.3,5.6,,,,,,125.9
126,,Josh Lambo,K,JAC,7,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,125.9
126,,Austin Seibert,K,CIN,10,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,125.9
129,,San Francisco 49ers,DST,SF,6,,,,,--,--,--,,--,,--,,--,--,,--,14.2,11,45.9,2.9,22.1,125.3
130,Kenny Golladay,Kenny Golladay,WR,NYG,10,,,,,28,0.4,0,1,8,5.8,0.2,107,67,863,12.9,5.6,,,,,,124.6
131,,Miami Dolphins,DST,MIA,14,,,,,--,--,--,,--,,--,,--,--,,--,15.4,10.7,42.3,3.6,22.9,124.5
132,,New England Patriots,DST,NE,14,,,,,--,--,--,,--,,--,,--,--,,--,16.6,8.8,39.5,3.1,21.2,124.1
133,Courtland Sutton,Courtland Sutton,WR,DEN,11,,,,,0,0,0,0,0,--,0,99,60,880,14.7,5.9,,,,,,123.4
133,Laviska Shenault Jr.,Laviska Shenault Jr.,WR,JAC,7,,,,,0,0,0,18,92,5,0.6,104,65,776,12,5.5,,,,,,123.4
135,,Washington Football Team,DST,WAS,9,,,,,--,--,--,,--,,--,,--,--,,--,15.6,9.9,46.1,3.1,23.1,123.3
135,Kenyan Drake,Kenyan Drake,RB,LV,8,,,,,9,0.1,0,123,528,4.3,3.6,62,46,397,8.6,1.4,,,,,,123.3
137,Sony Michel,Sony Michel,RB,LAR,11,,,,,0,0,0,164,677,4.1,7,26,17,116,7,0.3,,,,,,123.1
138,,Cleveland Browns,DST,CLE,13,,,,,--,--,--,,--,,--,,--,--,,--,14,12.1,40.1,3.1,22.3,121.7
139,,Matt Ammendola,K,NYJ,6,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,120.9
140,,Seattle Seahawks,DST,SEA,9,,,,,--,--,--,,--,,--,,--,--,,--,14.3,10.5,45.3,3.1,23.2,120.7
141,,Indianapolis Colts,DST,IND,14,,,,,--,--,--,,--,,--,,--,--,,--,14.1,9.6,45.8,3.1,23.2,119
142,,Buffalo Bills,DST,BUF,7,,,,,--,--,--,,--,,--,,--,--,,--,14.3,9.4,42.7,3,22.4,118.5
143,Jarvis Landry,Jarvis Landry,WR,CLE,13,,,,,49,0.5,0.1,3,20,7,0.3,112,69,849,12.3,4.3,,,,,,118.3
144,,Jake Elliott,K,PHI,14,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,118
145,Robby Anderson,Robby Anderson,WR,CAR,13,,,,,0,0,0,8,38,4.5,0.4,125,67,835,12.5,4.7,,,,,,117.9
146,,Pittsburgh Steelers,DST,PIT,7,,,,,--,--,--,,--,,--,,--,--,,--,13.7,7.7,44.5,2.7,21.6,117.1
147,,Los Angeles Rams,DST,LAR,11,,,,,--,--,--,,--,,--,,--,--,,--,13.8,8.8,48.4,2.9,23.7,116.2
148,Curtis Samuel,Curtis Samuel,WR,WAS,9,,,,,0,0,0,22,123,5.7,1,92,55,689,12.4,4.8,,,,,,116
149,Michael Gallup,Michael Gallup,WR,DAL,7,,,,,0,0,0,1,4,4,0,98,57,849,14.9,5.1,,,,,,115.8
150,,Ka'imi Fairbairn,K,HOU,10,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,115.4
151,Deebo Samuel,Deebo Samuel,WR,SF,6,,,,,13,0.3,0,14,66,4.8,0.7,101,65,746,11.6,4.6,,,,,,114.8
152,Henry Ruggs III,Henry Ruggs III,WR,LV,8,,,,,0,0,0,1,6,6.4,0.1,88,52,780,15.1,5.9,,,,,,114.6
153,Leonard Fournette,Leonard Fournette,RB,TB,9,,,,,0,0,0,137,607,4.4,4.4,43,30,223,7.4,0.8,,,,,,114.2
154,Will Fuller V,Will Fuller V,WR,MIA,14,,,,,13,0.3,0,0,0,0,0,100,60,860,14.3,4.4,,,,,,114.1
155,DJ Chark Jr.,DJ Chark Jr.,WR,JAC,7,,,,,0,0,0,0,0,--,0,100,59,852,14.5,4.8,,,,,,114
156,Michael Thomas,Michael Thomas,WR,NO,6,,,,,0,0,0,0,0,--,0,102,71,857,12.1,4.7,,,,,,113.9
157,Tyler Boyd,Tyler Boyd,WR,CIN,10,,,,,0,0,0,4,22,5.2,0.2,114,74,817,11.1,4.7,,,,,,113.3
157,Mecole Hardman,Mecole Hardman,WR,KC,12,,,,,0,0,0,6,41,7.1,0,95,61,816,13.4,4.6,,,,,,113.3
159,,Randy Bullock,K,DET,9,,,,,--,--,--,,--,,--,,--,--,,--,,,,,,113.1
160,Brandin Cooks,Brandin Cooks,WR,HOU,10,,,,,14,0.2,0,1,6,6.1,0,123,73,845,11.6,4.4,,,,,,112.8
161,Devonta Smith,Devonta Smith,WR,PHI,14,,,,,11,0.3,0,3,14,4.6,0.2,98,56,790,14,4.9,,,,,,112.7
162,,Arizona Cardinals,DST,ARI,12,,,,,--,--,--,,--,,--,,--,--,,--,11.3,10.4,53.6,2.9,25.5,112.4
163,Michael Pittman Jr.,Michael Pittman Jr.,WR,IND,14,,,,,0,0,0,1,4,4.5,0,100,58,788,13.6,5.5,,,,,,112.3
164,Marvin Jones Jr.,Marvin Jones Jr.,WR,JAC,7,,,,,0,0,0,0,0,--,0,103,58,831,14.3,4.8,,,,,,111.9
164,Corey Davis,Corey Davis,WR,NYJ,6,,,,,0,0,0,2,9,5.2,0.1,109,60,828,13.8,4.6,,,,,,111.9
166,Marquise Brown,Marquise Brown,WR,BAL,8,,,,,0,0,0,1,8,7.7,0,91,54,752,13.8,5.9,,,,,,111.5
167,Jamaal Williams,Jamaal Williams,RB,DET,9,,,,,0,0,0,133,558,4.2,4.1,44,31,239,7.8,1.2,,,,,,111.4
168,Darnell Mooney,Darnell Mooney,WR,CHI,10,,,,,0,0,0,5,31,6,0.2,100,60,775,13,4.9,,,,,,111.1
169,Bryan Edwards,Bryan Edwards,WR,LV,8,,,,,0,0,0,2,21,9.3,0.3,83,54,775,14.4,4.9,,,,,,110.9
169,T.J. Hockenson,T.J. Hockenson,TE,DET,9,,,,,0,0,0,0,0,0,0,114,68,760,11.2,5.8,,,,,,110.9
171,Antonio Brown,Antonio Brown,WR,TB,9,,,,,0,0,0,1,7,8.1,0.2,95,56,741,13.1,5.8,,,,,,110.8
172,JuJu Smith-Schuster,JuJu Smith-Schuster,WR,PIT,7,,,,,0,0,0,1,4,4.2,0.1,118,73,778,10.7,5.3,,,,,,110.6
173,,Philadelphia Eagles,DST,PHI,14,,,,,--,--,--,,--,,--,,--,--,,--,14.5,9.1,42.3,3,24.3,110.3
174,Devin Singletary,Devin Singletary,RB,BUF,7,,,,,0,0,0,145,602,4.2,2.8,50,39,249,6.4,1.3,,,,,,109.8
175,Mark Andrews,Mark Andrews,TE,BAL,8,,,,,0,0,0,0,0,--,0,90,58,701,12.1,6.6,,,,,,109.7
176,Zack Moss,Zack Moss,RB,BUF,7,,,,,0,0,0,131,512,3.9,5.1,32,25,214,8.6,1,,,,,,109.2
177,,New Orleans Saints,DST,NO,6,,,,,--,--,--,,--,,--,,--,--,,--,13.8,8.5,38,2.8,22.8,108.2
178,Kyle Pitts,Kyle Pitts,TE,ATL,6,,,,,0,0,0,0,0,--,0,87,57,733,12.8,5.8,,,,,,108.1
179,,New York Giants,DST,NYG,10,,,,,--,--,--,,--,,--,,--,--,,--,12.2,10.4,43.7,3,24.8,107.7
180,,Green Bay Packers,DST,GB,13,,,,,--,--,--,,--,,--,,--,--,,--,10.6,8.6,45.7,2,22.2,107.3
181,,Kansas City Chiefs,DST,KC,12,,,,,--,--,--,,--,,--,,--,--,,--,14.5,7.6,35.4,2.7,22.4,106.2
182,Cole Beasley,Cole Beasley,WR,BUF,7,,,,,0,0,0,1,4,3.9,0.1,104,70,798,11.3,4.2,,,,,,105.9
183,,Chicago Bears,DST,CHI,10,,,,,--,--,--,,--,,--,,--,--,,--,13.9,9.4,38.4,3.1,24.6,105.2
184,Nelson Agholor,Nelson Agholor,WR,NE,14,,,,,14,0.3,0,6,37,6.4,0.2,96,57,790,13.8,2.9,,,,,,103.1
185,Mike Williams,Mike Williams,WR,LAC,7,,,,,0,0,0,2,4,2,0,83,44,697,15.8,5.4,,,,,,102.4
186,,New York Jets,DST,NYJ,6,,,,,--,--,--,,--,,--,,--,--,,--,14.2,8.7,40.4,2.9,25.8,100.4
187,Rhamondre Stevenson,Rhamondre Stevenson,RB,NE,14,,,,,0,0,0,92,419,4.5,4.1,42,28,251,8.9,1.4,,,,,,100
188,Jaylen Waddle,Jaylen Waddle,WR,MIA,14,,,,,0,0,0,12,57,4.9,0.5,98,61,680,11.2,3.8,,,,,,99.5
189,Marquez Callaway,Marquez Callaway,WR,NO,6,,,,,0,0,0,3,25,7.5,0,88,51,710,14,4.3,,,,,,99.3
190,,Tennessee Titans,DST,TEN,13,,,,,--,--,--,,--,,--,,--,--,,--,13.7,8.4,32,2.8,23.6,98.6
