RANK,PLAYER,PLAYER,POS,TEAM,BYE,CMP,ATT,CMP%,Y/A,PassingYDS,PassingTD,PassingINT,RushingAttempts,RushingYDS,RushingY/A,RushingTD,ReceivingTargets,ReceivingREC,ReceivingYDS,ReceivingY/R,ReceivingTD,Interceptions,FumbleRecoveries,Sacks,DefensiveTD,PointsAgainst,YardsAgainst,FGM,FGA,XPM,FPTS
218,Green Bay Packers,Green Bay Packers,DST,GB,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,9.6,43,2.8,21,329.3529412,0,0,0,112.5
219,Dallas Cowboys,Dallas Cowboys,DST,DAL,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,10.6,39.9,3,22.11764706,343.8176471,0,0,0,112.4
220,Alexander Mattison,Alexander Mattison,RB,MIN,7,0,0,0,0,0,0,0,118,475,4.025423729,4,28,22,159,7.227272727,1,0,0,0,0,0,0,0,0,0,112.2
221,Los Angeles Rams,Los Angeles Rams,DST,LAR,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,10.1,43.5,2.8,21.44705882,334.0529412,0,0,0,110.9
222,Cade York,Cade York,K,CLE,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7,29.6,36.7,110.8
223,New Orleans Saints,New Orleans Saints,DST,NO,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,9.8,43.9,2.6,19.93529412,329.6176471,0,0,0,109.8
224,Joey Slye,Joey Slye,K,WSH,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9,31.4,32.1,109.7
225,Miami Dolphins,Miami Dolphins,DST,MIA,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,9.7,44.3,2.6,22.07058824,335.7823529,0,0,0,109.6
226,Rex Burkhead,Rex Burkhead,RB,HOU,6,0,0,0,0,0,0,0,60,231,3.85,2,48,37,286,7.72972973,2,0,0,0,0,0,0,0,0,0,109.4
227,Brevin Jordan,Brevin Jordan,TE,HOU,6,0,0,0,0,0,0,0,0,0,0,0,66,45,472,10.48888889,3,0,0,0,0,0,0,0,0,0,109.2
