RANK,PLAYER,POS,TEAM,BYE,CMP,ATT,CMP%,Y/A,PassingYDS,PassingTD,PassingINT,RushingAttempts,RushingYDS,RushingY/A,RushingTD,ReceivingTargets,ReceivingREC,ReceivingYDS,ReceivingY/R,ReceivingTD,Fumbles,Interceptions,FumbleRecoveries,Sacks,DefensiveTD,PointsAgainst,YardsAgainst,FGM,FGA,XPM,FPTS
302,Michael Pittman Jr.,WR,IND,11,0,0,0,0,0,0,0,2.4,20.8,8.666666667,0,0,75.8,857.9,11.31794195,4.1,0.5,0,0,0,0,0,0,0,0,0,111.5
303,Jordan Addison,WR,MIN,13,0,0,0,0,0,0,0,2.5,14.1,5.64,0.1,0,61.1,813.4,13.31260229,4.8,0.7,0,0,0,0,0,0,0,0,0,110.5
304,Treylon Burks,WR,TEN,7,0,0,0,0,0,0,0,6.9,52.9,7.666666667,0.1,0,58,796.3,13.72931034,4,0.2,0,0,0,0,0,0,0,0,0,108.9
305,Jaxon Smith-Njigba,WR,SEA,5,0,0,0,0,0,0,0,1.2,8.6,7.166666667,0,0,59.7,798.3,13.3718593,4.6,0.7,0,0,0,0,0,0,0,0,0,106.8
306,Courtland Sutton,WR,DEN,9,0,0,0,0,0,0,0,0.5,2.7,5.4,0,0,58.1,793,13.64888124,4.2,0.1,0,0,0,0,0,0,0,0,0,104.5
307,Michael Thomas,WR,NO,11,0,0,0,0,0,0,0,0.3,1.2,4,0,0,67.2,769.3,11.44791667,4.5,0.2,0,0,0,0,0,0,0,0,0,104
308,JuJu Smith-Schuster,WR,NE,11,0,0,0,0,0,0,0,0.2,1,5,0.1,0,72.5,802.5,11.06896552,3.9,0.7,0,0,0,0,0,0,0,0,0,102.6
309,Zay Flowers,WR,BAL,13,0,0,0,0,0,0,0,2.1,14.5,6.904761905,0.1,0,53.7,733.2,13.65363128,4.8,0.7,0,0,0,0,0,0,0,0,0,102.4
310,Kadarius Toney,WR,KC,10,0,0,0,0,0,0,0,10.2,102.3,10.02941176,1.3,0,51.8,590.4,11.3976834,4.1,0.6,0,0,0,0,0,0,0,0,0,100.2
311,Nico Collins,WR,HOU,7,0,0,0,0,0,0,0,0,0.2,0,0,0,56.8,722,12.71126761,4.4,0.1,0,0,0,0,0,0,0,0,0,98.1
312,Jakobi Meyers,WR,LV,13,0,0,0,0,0,0,0,1.1,3.8,3.454545455,0,0,62.5,749.4,11.9904,3.9,0.7,0,0,0,0,0,0,0,0,0,97.4
313,Odell Beckham Jr.,WR,BAL,13,0,0,0,0,0,0,0,1.6,19.2,12,0.2,0,51.1,676.5,13.23874755,4.4,0.2,0,0,0,0,0,0,0,0,0,97.3
314,Tyler Boyd,WR,CIN,7,0,0,0,0,0,0,0,1.5,9,6,0,0,58.2,713.7,12.2628866,3.9,0.2,0,0,0,0,0,0,0,0,0,95.4
315,DJ Chark Jr.,WR,CAR,7,0,0,0,0,0,0,0,0.1,1.4,14,0,0,46.2,718.2,15.54545455,3.9,0.1,0,0,0,0,0,0,0,0,0,95
316,Marquez Valdes-Scantling,WR,KC,10,0,0,0,0,0,0,0,0.7,1.9,2.714285714,0,0,42.2,690.1,16.35308057,4.2,0.1,0,0,0,0,0,0,0,0,0,94
317,Quentin Johnston,WR,LAC,5,0,0,0,0,0,0,0,2.5,14,5.6,0.1,0,48.9,696.5,14.24335378,3.9,0.7,0,0,0,0,0,0,0,0,0,93.8
318,Michael Gallup,WR,DAL,7,0,0,0,0,0,0,0,0,0.2,0,0,0,49.8,658.8,13.22891566,4.6,0.1,0,0,0,0,0,0,0,0,0,93.1
319,Allen Lazard,WR,NYJ,7,0,0,0,0,0,0,0,2.1,12.6,6,0,0,50.7,646.1,12.74358974,4.5,0.1,0,0,0,0,0,0,0,0,0,92.8
320,Darnell Mooney,WR,CHI,13,0,0,0,0,0,0,0,2,9.9,4.95,0.1,0,52.1,661.4,12.69481766,4,0.1,0,0,0,0,0,0,0,0,0,91.2
321,Zay Jones,WR,JAC,9,0,0,0,0,0,0,0,1.9,8.4,4.421052632,0,0,60.3,660.6,10.95522388,3.9,0.2,0,0,0,0,0,0,0,0,0,90
322,Adam Thielen,WR,CAR,7,0,0,0,0,0,0,0,0.6,4.1,6.833333333,0,0,55,637.9,11.59818182,4.2,0.1,0,0,0,0,0,0,0,0,0,89.2
323,DeVante Parker,WR,NE,11,0,0,0,0,0,0,0,0,0.2,0,0,0,45.7,669.5,14.64989059,3.7,0.1,0,0,0,0,0,0,0,0,0,88.9
324,Rondale Moore,WR,ARI,14,0,0,0,0,0,0,0,14.2,61.6,4.338028169,0.2,0,66.6,687.3,10.31981982,2.2,0.4,0,0,0,0,0,0,0,0,0,88.2
325,Skyy Moore,WR,KC,10,0,0,0,0,0,0,0,5.5,33.7,6.127272727,0.2,0,49.9,639.9,12.82364729,3.9,2.1,0,0,0,0,0,0,0,0,0,88
326,Romeo Doubs,WR,GB,6,0,0,0,0,0,0,0,0.6,6.3,10.5,0,0,54.5,641.3,11.76697248,4.1,0.7,0,0,0,0,0,0,0,0,0,87.8
327,Jonathan Mingo,WR,CAR,7,0,0,0,0,0,0,0,1.2,12.8,10.66666667,0.1,0,47.8,653.9,13.67991632,3.3,0.4,0,0,0,0,0,0,0,0,0,85.6
328,Curtis Samuel,WR,WAS,14,0,0,0,0,0,0,0,25.7,139.4,5.424124514,0.8,0,47.9,521.3,10.88308977,2.6,0.5,0,0,0,0,0,0,0,0,0,85.5
329,Van Jefferson,WR,LAR,10,0,0,0,0,0,0,0,0.7,5.1,7.285714286,0,0,42.5,613.3,14.43058824,3.9,0.1,0,0,0,0,0,0,0,0,0,85
330,Elijah Moore,WR,CLE,5,0,0,0,0,0,0,0,4.9,25,5.102040816,0.2,0,44.3,601.2,13.57110609,3.3,0.1,0,0,0,0,0,0,0,0,0,83.5
331,Donovan Peoples-Jones,WR,CLE,5,0,0,0,0,0,0,0,0.4,0.5,1.25,0,0,44.2,650.7,14.72171946,3.2,0.6,0,0,0,0,0,0,0,0,0,82.9
332,K.J. Osborn,WR,MIN,13,0,0,0,0,0,0,0,2.9,14.4,4.965517241,0.1,0,48.6,557.9,11.47942387,4.2,0.2,0,0,0,0,0,0,0,0,0,82.6
333,Hunter Renfrow,WR,LV,13,0,0,0,0,0,0,0,0.4,3.8,9.5,0,0,60.6,603.9,9.965346535,3.6,0.6,0,0,0,0,0,0,0,0,0,80.9
334,Jayden Reed,WR,GB,6,0,0,0,0,0,0,0,2.4,16.6,6.916666667,0.1,0,47.9,601.3,12.55323591,3.1,0.2,0,0,0,0,0,0,0,0,0,80.1
335,Jameson Williams,WR,DET,9,0,0,0,0,0,0,0,1.9,20.4,10.73684211,0.1,0,39,583.3,14.95641026,3.1,0.5,0,0,0,0,0,0,0,0,0,78.8
336,Isaiah Hodgins,WR,NYG,13,0,0,0,0,0,0,0,0,0.6,0,0,0,47.3,524.2,11.08245243,4.6,0.7,0,0,0,0,0,0,0,0,0,78.8
337,Rashid Shaheed,WR,NO,11,0,0,0,0,0,0,0,3.6,42.6,11.83333333,0.8,0,37.2,556.1,14.94892473,2.4,0.1,0,0,0,0,0,0,0,0,0,78.6
338,Rashod Bateman,WR,BAL,13,0,0,0,0,0,0,0,0,0.2,0,0,0,40,607.8,15.195,3.1,0.9,0,0,0,0,0,0,0,0,0,77.5
339,John Metchie III,WR,HOU,7,0,0,0,0,0,0,0,0.9,8.2,9.111111111,0,0,43.2,561.8,13.00462963,2.8,0.2,0,0,0,0,0,0,0,0,0,73.8
340,Alec Pierce,WR,IND,11,0,0,0,0,0,0,0,0,0.2,0,0,0,39.2,591.4,15.08673469,2.5,0.1,0,0,0,0,0,0,0,0,0,73.7
341,Robert Woods,WR,HOU,7,0,0,0,0,0,0,0,4.2,21.2,5.047619048,0.2,0,52.2,535.5,10.25862069,2.5,0.5,0,0,0,0,0,0,0,0,0,71.1
342,Chase Claypool,WR,CHI,13,0,0,0,0,0,0,0,5.6,37.6,6.714285714,0.2,0,35.5,498.1,14.03098592,2.7,0.5,0,0,0,0,0,0,0,0,0,70.3
343,Mecole Hardman Jr.,WR,NYJ,7,0,0,0,0,0,0,0,7.9,60.1,7.607594937,0.8,0,36.2,444.4,12.27624309,2.7,0.8,0,0,0,0,0,0,0,0,0,69.6
344,Corey Davis,WR,NYJ,7,0,0,0,0,0,0,0,0,0.3,0,0,0,35.7,527.6,14.77871148,2.7,0.2,0,0,0,0,0,0,0,0,0,68.7
345,Marvin Jones Jr.,WR,DET,9,0,0,0,0,0,0,0,0.1,0.5,5,0,0,38.1,496,13.0183727,3.2,0.1,0,0,0,0,0,0,0,0,0,68.6
346,Darius Slayton,WR,NYG,13,0,0,0,0,0,0,0,0.5,1.5,3,0,0,35.8,547.2,15.2849162,2.4,0.5,0,0,0,0,0,0,0,0,0,68
347,Rashee Rice,WR,KC,10,0,0,0,0,0,0,0,1.2,8,6.666666667,0,0,33.5,486.5,14.52238806,3,0.4,0,0,0,0,0,0,0,0,0,67.1
348,Mack Hollins,WR,ATL,11,0,0,0,0,0,0,0,1.1,16.9,15.36363636,0.1,0,38.8,468.2,12.06701031,2.9,0.2,0,0,0,0,0,0,0,0,0,65.6
349,Allen Robinson II,WR,PIT,6,0,0,0,0,0,0,0,0.1,0.4,4,0,0,39.7,491,12.36775819,2.7,0.1,0,0,0,0,0,0,0,0,0,65.3
350,Russell Gage,WR,TB,5,0,0,0,0,0,0,0,0.8,2,2.5,0,0,60.5,530,8.760330579,1.9,0.3,0,0,0,0,0,0,0,0,0,63.9
